"parametre";"categorie";"pourcentage";"n";"N"
"a";"2020";23,5565819861432;102;433
"a";"2021";17,0900692840647;74;433
"a";"2022";19,6304849884527;85;433
"a";"2023";39,7228637413395;172;433
"mod_peche";"chasse sous-marine";8,54503464203233;37;433
"mod_peche";"peche du bord";57,2748267898383;248;433
"mod_peche";"peche embarquée";33,7182448036951;146;433
"mod_peche";"peche à l'oursin";0,46189376443418;2;433
"sexe";"femme";3,46420323325635;15;433
"sexe";"homme";96,5357967667437;418;433
"res_tour";"occasionnel";6,00461893764434;26;433
"res_tour";"resident";73,6720554272517;319;433
"res_tour";"secondaire";5,77367205542725;25;433
"res_tour";"touriste";14,5496535796767;63;433
"Temps_peche_estime.cat2h";"<2h";12,0092378752887;52;433
"Temps_peche_estime.cat2h";">=2h";87,9907621247113;381;433
"zone.gp";"Agriates";1,38888888888889;6;432
"zone.gp";"Est Cap";44,6759259259259;193;432
"zone.gp";"nimp_ou";35,1851851851852;152;432
"zone.gp";"Nord Cap";1,38888888888889;6;432
"zone.gp";"Ouest Cap";6,48148148148148;28;432
"zone.gp";"Saint-Florent";10,8796296296296;47;432
"age_classe";"13-24";1,92307692307692;5;260
"age_classe";"25-39";15,3846153846154;40;260
"age_classe";"40-49";23,4615384615385;61;260
"age_classe";"50-59";44,6153846153846;116;260
"age_classe";"60-69";8,46153846153846;22;260
"age_classe";"70 et plus";6,15384615384615;16;260
"cat_pro.gp";"activite";51,5384615384615;134;260
"cat_pro.gp";"etudiant";1,53846153846154;4;260
"cat_pro.gp";"retraite";37,6923076923077;98;260
"cat_pro.gp";"sans_emploi-en_arret";9,23076923076923;24;260
"nb_sort_an_cat";"Q1 (<=10)";26,8199233716475;70;261
"nb_sort_an_cat";"Q2 (11-15)";30,2681992337165;79;261
"nb_sort_an_cat";"Q3 (16-30)";20,3065134099617;53;261
"nb_sort_an_cat";"Q4 (>=31)";22,6053639846743;59;261
"classe_avis_pnm";"negatif";0,769230769230769;2;260
"classe_avis_pnm";"p_avis";15,3846153846154;40;260
"classe_avis_pnm";"positif";83,8461538461539;218;260
"poss_bat";"non";52,8735632183908;138;261
"poss_bat";"oui";47,1264367816092;123;261
"time.day.gp";"am";51,5384615384615;134;260
"time.day.gp";"journee";3,46153846153846;9;260
"time.day.gp";"nimp_q";32,6923076923077;85;260
"time.day.gp";"nuit";0,384615384615385;1;260
"time.day.gp";"pm";11,9230769230769;31;260
"dep.mod_peche.chr";"< 100 euros";36,4341085271318;94;258
"dep.mod_peche.chr";"entre 100-500 euros";22,8682170542636;59;258
"dep.mod_peche.chr";"entre 1000-2000 euros";9,68992248062016;25;258
"dep.mod_peche.chr";"entre 500-1000 euros";11,2403100775194;29;258
"dep.mod_peche.chr";"supérieur à 2000";19,7674418604651;51;258
